X,Y,OBJECTID,Geocode_Address,Geocode_Street,Case_Number,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Reported_Date_Year,Reported_Date_Month,Reported_Time,Reported_Timestamp,Address_StreetFull,Address_City,Address_State,Patrol_Beat,Patrol_Section,Case_Status,Statute_Title,Statute_Section,Statute_Subsection,Statute_Degree,Statute_Class,Statute_Category,Statute_Text,Statute_Description,Statute_CrimeCategory,Statute_Attempted,Weapon_Description,Larceny_Type,Location_Type,Geo_Beat,Geo_Section,Geo_Section_Num
,,2,,* Address Not Specified *,2018-00028596,2018,2,0941,2018-02-06T09:41:00.000Z,2018,2,0941,2018-02-06T09:41:00.000Z,2018,2,0941,2018-02-06T14:41:00.000Z,* Address Not Specified *,* Address Not Specified *,***,***,***,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Completed,Knife/Cutting Instrument,* No Larceny Type Specified *,Parking Lot,,,
,,3,,* Address Not Specified *,2018-00002271,2018,1,1200,2018-01-27T12:00:00.000Z,2018,1,1530,2018-01-29T15:30:00.000Z,2018,1,1530,2018-01-29T20:30:00.000Z,* Address Not Specified *,* Address Not Specified *,***,***,***,Office,PL ,155.30   ,01    ,4,E,F,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,6,Completed,* No Weapon Specified *,Motor Vehicle Theft,Street,,,
-77.642617068984194,43.208015684826606,154,"135 Parkwood Rd, Rochester, NY, 14615",135 PARKWOOD ROAD,2018-00056023,2018,3,1200,2018-03-11T12:00:00.000Z,2018,3,1200,2018-03-11T12:00:00.000Z,2018,3,1806,2018-03-12T22:06:00.000Z,135 PARKWOOD ROAD,Rochester,NY,211,Lake,Exceptional Clearance,PL ,165.05   ,01    ,3,A,M,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,7,Completed,* No Weapon Specified *,Motor Vehicle Theft,Street,211,Lake,1
-77.657876149359737,43.194073807364539,322,"1020 Ridgeway Ave, Rochester, NY, 14615",1020 RIDGEWAY AVE,2018-00049466,2018,3,0000,2018-03-03T00:00:00.000Z,2018,3,1126,2018-03-04T11:26:00.000Z,2018,3,1126,2018-03-04T16:26:00.000Z,1020 RIDGEWAY AVE,Rochester,NY,221,Lake,Warrant Application,PL ,165.05   ,01    ,3,A,M,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,7,Completed,* No Weapon Specified *,Motor Vehicle Theft,Parking Lot,221,Lake,1
-77.597982563191451,43.158745206255688,323,"19 Richmond St, Rochester, NY, 14607",19 RICHMOND ST,2018-00013109,2018,1,2110,2018-01-17T21:10:00.000Z,2018,1,2120,2018-01-17T21:20:00.000Z,2018,1,2133,2018-01-18T02:33:00.000Z,19 RICHMOND ST,Rochester,NY,219,Central,Cleared by Arrest - Adult,PL ,160.10   ,01    ,2,C,F,Robbery,Robbery 2nd: Aided By Another                               ,3,Completed,Imitation Firearm,* No Larceny Type Specified *,Multiple Dwelling,219,Central,9
-77.652345101994683,43.131542008733938,365,"47 Ernestine St, Rochester, NY, 14619",47 ERNESTINE ST,2018-00033293,2018,2,1200,2018-02-09T12:00:00.000Z,2018,2,1200,2018-02-12T12:00:00.000Z,2018,2,1640,2018-02-12T21:40:00.000Z,47 ERNESTINE ST,Rochester,NY,243,Genesee,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,All Other Larcenies,Other Outside Location,243,Genesee,3
-77.605235304355361,43.161850118874639,547,"270 Cumberland St, Rochester, NY, 14605",270 CUMBERLAND ST,2018-00038872,2018,2,1500,2018-02-16T15:00:00.000Z,2018,2,1000,2018-02-18T10:00:00.000Z,2018,2,1555,2018-02-19T20:55:00.000Z,270 CUMBERLAND ST,Rochester,NY,287,Clinton,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,All Other Larcenies,Other Outside Location,287,Clinton,7
-77.638912178837188,43.180810571631085,603,"331 Driving Park Ave, Rochester, NY, 14613",331 DRIVING PARK AVE,2018-00044409,2018,2,2224,2018-02-25T22:24:00.000Z,2018,2,2229,2018-02-25T22:29:00.000Z,2018,2,0959,2018-02-26T14:59:00.000Z,331 DRIVING PARK AVE,Rochester,NY,251,Lake,Field,PL ,140.20   ,      ,3,D,F,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,5,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Other Commercial Service Location,251,Lake,1
-77.631689072939693,43.177490661762008,658,"79 Glenwood Ave, Rochester, NY, 14613",79 GLENWOOD AVE,2018-00015866,2018,1,0304,2018-01-21T03:04:00.000Z,2018,1,0304,2018-01-21T03:04:00.000Z,2018,1,0304,2018-01-21T08:04:00.000Z,79 GLENWOOD AVE,Rochester,NY,251,Lake,Cleared by Arrest - Adult,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,5,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,251,Lake,1
-77.612776429192735,43.174606144213527,778,"886 N Clinton Ave, Rochester, NY, 14605",886 N CLINTON AVE,2018-00033925,2018,2,1209,2018-02-13T12:09:00.000Z,2018,2,1209,2018-02-13T12:09:00.000Z,2018,2,1209,2018-02-13T17:09:00.000Z,886 N CLINTON AVE,Rochester,NY,277,Clinton,Field,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Completed,Firearm,* No Larceny Type Specified *,Parking Lot,277,Clinton,7
-77.637873073542124,43.146374997490135,842,"61 Kirkland Rd, Rochester, NY, 14611",61 KIRKLAND ROAD,2018-00017093,2018,1,1950,2018-01-21T19:50:00.000Z,2018,1,2050,2018-01-21T20:50:00.000Z,2018,1,1628,2018-01-22T21:28:00.000Z,61 KIRKLAND ROAD,Rochester,NY,223,Genesee,Office,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,5,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,223,Genesee,3
-77.631193660989481,43.194680345266597,895,"24 Minder St, Rochester, NY, 14615",24 MINDER ST,2018-00036965,2018,2,1500,2018-02-16T15:00:00.000Z,2018,2,2000,2018-02-16T20:00:00.000Z,2018,2,2126,2018-02-17T02:26:00.000Z,24 MINDER ST,Rochester,NY,211,Lake,Office,PL ,140.25   ,02    ,2,C,F,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,5,Completed,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,211,Lake,1
-77.615109933573351,43.124871671283351,1058,"870 Elmwood Ave, Rochester, NY, 14620",870 ELMWOOD AVE,2018-00052551,2018,2,1200,2018-02-27T12:00:00.000Z,2018,2,1230,2018-02-27T12:30:00.000Z,2018,3,1026,2018-03-08T15:26:00.000Z,870 ELMWOOD AVE,Rochester,NY,263,Genesee,Field,PL ,155.35   ,01    ,3,D,F,Larceny,Grand Larceny 3rd: Property Value Exceeds $3000             ,6,Completed,* No Weapon Specified *,All Other Larcenies,Other Commercial Service Location,265,Goodman,5
-77.639569985248414,43.178473236598023,1112,"735 Dewey Ave, Rochester, NY, 14613",735 DEWEY AVE,2018-00054942,2018,3,0809,2018-03-11T08:09:00.000Z,2018,3,0814,2018-03-11T08:14:00.000Z,2018,3,0814,2018-03-11T12:14:00.000Z,735 DEWEY AVE,Rochester,NY,241,Lake,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,All Other Larcenies,Gas Station,241,Lake,1
